better taika watiti disaster. thank god got head ...,1
watching bangladesh,0
heartbreaking thor endsup like iron man sacrificing,-1
favirorate caractor back,0
imagine movie get delayed till 2027,-1
x men trailer?,0
who xmen teaser ?,-1
peak marvel return,1
raise hand youre watching xmen teaser,1
xmen teaser..uploaded,0
thor love prayer,1
yes,0
"ofc. will, hollyweird run original ideals. sequels, prequels, copies, milking franchise deemed dead long time ago.",-1
movie better 3 hours.,1
who waiting xmen teaser? let see many u are.,-1
xmen trailer coming minute,0
well avenger doomsday gta 6,-1
xmen teaser coming?,-1
tick tok,0
thor short hair,0
omg!,0
thor aint iron man revive,1
bring back thor,0
starting today nomore eating much no driving fast anu dangerous thing make die. december 18 2026 still far..,-1
um. last saw thor daughter gleefully running battle. but want not teach warrior? pretty obvious plot hole not bode well unless good explanation.,1
doom god praying,1
make feel like going die mortally wounded making opening others order defeat doom.,-1
"name maximus decimus meridius, commander army north",0
drop x men teaser buddy,-1
doomsday teaser release today,-1
thor daughter,0
rune king thor,0
thor going give serious word dr doom im calling it. word going right something tragic happens..,-1
yall really holding xmen teaser long possible huh?!? .....im not going see trash avatar movie may well drop teaser already!!!,-1
need another grand thor entrance russo brother beg,1
next hd version trailer already seen crappy version,-1
whatt,0
wheres xmen teaser,-1
nice try maybe next time good movie,1
hope loki seen,1
so.....dr doom becoming kidnapper?i remember home alone movie,-1
still basically year left see movie..thats long wait,0
thor return... excitement marvel movies!,1
taika wacktitis version done,0
problem current mcu buildup? poor movie poor tv show. none connects. another 2 part story make sense.,-1
1e17ber02020 hmmm,0
know hard going wait next 11 month,-1
cinematography chain teasers. love color tell 2 movie gonna serious,1
thor bhai,0
got see serious thor gta6,-1
xmen teaser today,-1
really hope doomsday rated r,-1
niceeeee,0
dec 18 birthday.,0
shouldnt daughter bossing around slip banana peels?,0
somehow aint moved this.... disney naaaaaa marvel universe trashed years. anyway let wait n see,1
eventually franklin also appear defend home,0
somebody please leak 4th trailer,0
cant beat doom?,1
still dei hire participation here?,0
"russo bother bring real power thor, know capacity thor",-1
please god let movie peak!!!,1
year?,0
ai,0
waiting behind scene clip taika trying pas security ruin take,-1
"teaser mean much know probably chris hemsworths last major movie appearance while. late 2022, chris discovered carry two copy particular gene, increasing alzheimers risk 810 times. discovery prompted career hiatus, hemsworth clarified break primarily spend time three child decade continuous work. remains selective project but continues acting, including returning future marvel films.",1
then? remember good ole day mattered. bring back then.,1
lucky racer return avenger doomsday,-1
please!!!!!!!!!!!!!!!!!!!!!! please give u back serious thor,1
waiki tahiti rolling grave,-1
mess time tends mess back. t,-1
thor,0
water eye,0
going like 4 hour movie hell,-1
"ragnarok fun, but sincerity thor voice something ive missed years. like actually feel something. especially weird since ragnarok love thunder losing loved ones. but movie comedic make feel impactful.",1
marvel back ?,1
nobody care new hero gotta try lure u ogs,1
whyd get notification,0
dialogue sound like chatgpt wrote them?,1
let make one mcus final flop!,-1
,0
time isnt made complete joke like ragnarok love thunder. terrible,1
notice dialogue give strength defeat one enemy not one last enemy,1
serious thor best thor,1
next one probably come tomorrow!,0
he gonna die right?,-1
yawn,0
gotta wait almost whole freaking year see movie lol,1
oh hay norse warrior god praying pacifist...,1
"oh hope get one teasersglimpses character main leads, god hope one bucky.",1
"god thunder praying, already doomed",-1
guess heeded word,0
actually excited marvel movie again? god dont give hope,1
gonna see hulk holding green baby next lol,1
black widow deserves comeback,0
time actual doomsday,-1
vecna got clock end,0
"end dune, finally secret wars, going last cinematic events. might well pack that.",-1
thought daughter awful love thunder movie ?,1
"finally, real hero back!",1
"thor isnt fat, thank",1
moment later... thor dance disco fever falcon land shoulder firework machine gun blare background thor strength!,1
who ready rune king thor!,1
"even next two film misfire, want see original avengers, fox xmen, deadpool, spidermen, black panther, defenders, f4 fight one reboot.",1
whoa! thor praying.,1
"think give marvel co there no stuff, pull pack in.",1
no goat screaming ???,-1
kill thor dare you!,-1
thor,0
"fail miserable hope does! avenger cast getting together presidential race trying sway vote away disgusting! dont give one penny money one minute time, think theyre better you! think decide know better! avoid garbage like plague!",-1
holy peak. easily badass version thor since infinity war,-1
"love god, let man badass actually is.",1
biggest dead flag 2026,-1
ok let say lt never happened. needed one minute say thor back real,1
thor,0
yes,0
5 year horrible movie dont trust marvel anymore.,-1
kid,0
agree gonna last,1
avenger money dried,0
feel fantastic,1
movie leading it? havent noticed yet,0
already looking one intense mcu movie yet,1
dumbsday.,0
eye grew back?,0
bruh whyd get noti today?? thought xmen trailer,0
better every word dialogue last movie,1
doom doom doom. obviously doom form god emperor doom going get thor remaining avenger knee hercules mix...,-1
thor gonna die battle like true viking...,-1
"ahh good old mcu treating thor respect, really hopefull one. no identity politics please.",1
screamed this. cant wait,-1
love thunder made yearn dark world. least movie honest took seriously. glad thor seems back old self.,1
thrud always real daughter. gow canon this.,0
even going make december 2026?,-1
amazing teaserwhat actorso deep words!!!,1
"nostalgia bait. tell movie isnt going another lame, socialist muppet show.",-1
"calling , thor captain america get killed emperor doom",-1
"ok, new trailer actually pretty good dare allow hope?",1
"yeah, let make money original character humiliate money.",0
ok marvel piqued interest. wonder someone else answer prayer besides odin. maybe loki?,1
thor stormbreaker not mjlnir. regained mjlnir last move stormbreaker wielded love.,1
11 month timer crazy,-1
remind .. no hope gow,1
"needed build doom, throwing last gasp effort desperate casting rdj latverian hero bound fail.",-1
supposed impressed trailer?,1
movie gonna dark calling it...,0
good thing toilet.,1
like saying f1 redbull team! ofc thor gonna avenger,1
thor? loving father? thought thats allowed disney show...,1
feel like end,1
"god pray, i?",1
bro even gave thor dope haircut back.. aint playin around w nostalgia,0
movie suck,-1
give u rest trailer whatever!,0
point see whole movie internet theater,0
six day late. lack interest look like.,1
bringing back everyone try save franchise,1
yes!,1
thats thor want,1
"father, help get one more.",1
let hope know mcu character leave,1
thor gonna die one feel,-1
thor right voice perfect aswell,1
"dunno man. could one but ended perfectly, isnt clicking anymore.",1
goat,0
"disney return traditional view strength heroism, might pull grave theyve digging.",1
marvel know youre dad phase lol,1
finally time lock in!! lady gent back!,0
jettisoned underpants attik nightclub 2004 return avenger doomsday,-1
single arm,0
point bring hope best,1
finally,0
rune king thor doomsday avenger,-1
"thor look like old man, wasnt like 900 year old, he aged 10 year in... well, 10 years. clip admitting honest truth fan thor anymore 7 year nothing hut forgettable failures.",1
im pretty sure korg gonna close stupid one liner right,1
making upset bad marvel lately.,-1
"really set rune king thor. battle, rune king thor v god emperor doom",-1
oh wow. another avenger movie,1
let see end something sense dont like girls. im gonna dad.,-1
incredibly touching.,0
real yaaar,0
"even copypasted look infinity war, marvel really going allout damage control",-1
"havent cared mcu project long time but whole give strength fight one battle, face one enemy, come home teach not battle but stillness hit gut. ill say men care about. yes cool big fight but fight matter? protect child family matters. thor cap come back one last fight kid protect men live for. ill watch movie!",-1
end thor worthy but imagine see doom say omg tony u still alive beard cathcy not die finally,1
thor good serious scene comedy,1
considering doom dark avenger lineup? yeah yall need rune king thor joever,1
normalize talking normally instead constantly burping?,0
eermmm...wheres joke? marvel cant serious not end joke,1
stopped making joke thor. finally,1
waiting watiki irreverent fart joke???? look terrible thor silly goose man not serious guy,-1
"grounded, peaceful depiction father disney movie, post 2016, universe enter?",1
cautiously optimistic,1
try harder,0
thank odin silly thor finally over.,1
"im not dumb. dumb person come back abuser mere promise ive changed , end repeating cycle. dont believe ive moved on. im not shock people falling blindly clear nostalgia baiting.",1
taika waititi took day then?,0
would never give disney money horrendous garbage theyve create past decade.,-1
"chills!......mike drop, im",-1
rune king thor. please!,1
ragnarok haircut back,0
yaaaawn,0
"hulk? dont want thor cap... want hulk, marvels, diverse mean... eternals character marvel introduced?",1
thor become father?,0
hype much wanna watch movie,0
look fat,0
crazyyyy,0
imagine good mcu movie would retained kinda seriousness,1
"cant waitttt, must watchhh aarrhh",0
omgggg,0
"hope postponed, timer wrong",-1
still making crap!? thought last film killed franchise.,-1
hopefully xmen trailer tomorrow,1
not clown thor wow cool,-1
"marvel failure past 6 years, trailer dont hype push away. releasing selected place doesnt help either, content still feel empty. kid not promising.",-1
boring trailer,-1
imagine dr doom power strongest one begging power.,1
wow felt goosebumps!! father prayer!!,1
got another new eye,0
give strength head,1
ai generated teaser,-1
hemsworth drawing gladiator energy crowe.,1
quality writing 1 minute teaser eclipse almost everything mcu since endgame,-1
bring doomsday,-1
know he goin die,-1
hulk return tho?,0
eye color,0
feeling abt marvel slop,1
"que e eso, saquen el trailer",0
goosebump,0
"father, life, ive answered every call... except time told specifically not go jotunheim went. oh, time abandoned asgard girl midgard, allowed step brother imprison father rule asgard, accelerating ragnarok returning sister rule asgard short time, killing best mate exactly 50 asgardians consequence. mate, infinity war, call answered noobmaster69 ragebaiting cod online",-1
wonder reaction filming whit robert downing jr doom,-1
x men teaser tomorrow!,-1
"trailer stink desperation. building absolutely nothing this, suddenly everyone like thor cap baby say stake high.",-1
,0
ive saw captain america return avenger doomsday xmen return avenger doomsday thor return avenger doomsday,-1
god ask power matter serious,1
chris hemsworth versatile. serious humorous,1
cool,1
praying power battle doom,0
already done....i thought still filming.......the super slop,1
waste,-1
please bring iron man,1
nice,0
give wandaaaa,0
lol no,1
cant wait see it!!,0
pawer vector doom,1
year? lol,1
music speaks word fail,-1
another teaser tomorrow! hope worth wait,1
need survive till december!,0
im expecting something peak !!!!!,0
watch die,0
exciting,1
need know,0
not slobthor? huh... nice..,0
"cant give hype movie thats coming one year now, especially not slop youve put since thanos",0
im waiting third trailer it?!,0
"he gonna die, isnt he?",-1
goosebump,0
woohoo,1
god begging power,1
bro gonna miss head,-1
"uhhhhhhhhhhhhhh ok.. well stupid. dead dad, please give strength fight, not fight, teach kid not fight. ok!",-1
next hulk,0
24 trailer go boy girls. might get last trailer release movie,0
not wait november,0
"thor balik, captain america balik, tony stark balik, bukti mcu gatol setelah avanger end game, jadi mau ga mau mereka panggil ulang cast2 lawasnya",0
odinforce,0
shame killed character thor love thunder. supposed care character again?,-1
not warrior but warmth teach not battle but stillness mcu might not washed,1
still dont like it.,-1
gonna take really good content make want watch thor love thunder. bad still bad taste mouth.,-1
,0
doomsday,-1
strongest avenger cry is..2026 gonna lit.,-1
stop leak marvel spoling movie,1
hope isnt fakeout. turning thor bumbling idiot avenger painful watch.,-1
awsome would trailer one played dr doom himself.,0
reason whatch marvel aagain,1
need see wanda return.,0
commenting commenting...,0
"seeing trailer, he totally going die movie",-1
one year worth waiting witness robert downey jr,1
"know powerful doom, mortal, god begs help",1
no one care returning. movie still suck like every marvel movie since endgame.,1
"no fear, thunder!! thor",-1
thor praying,1
"think rune king thor version. rune king thor extremely powerful, nearomnipotent version marvel thor comics, achieved sacrificed eye hung yggdrasil world tree greater knowledge power, surpassing even odin tapping odinforce rune magic. ultimate form grant cosmic awareness, realitybending abilities, power challenge universal threats, making one mightiest being marvel universe, though still entity like one all.",1
need doom spoiler,-1
keep character many trailer many theories.,0
awaited movie century !,-1
avenger assemble,0
thank u marvel,1
eye blue,0
finally marvel teaser doesnt show best one liner movie. im it.,-1
beta ray beta ray beta ray!!!!,0
bad doom kill but see 1000 cgi thor battle world,-1
finally serious thor back!,-1
yoo,0
thor movie accept gooft ragnarok fit premise movie,1
marvel peaked year ago,1
dont kill thor why. chriss doesnt want get another actor,1
thor two blue eyes?,0
alright buddy aim head time,1
"bro doom please nice him, already greatly loss beloved one",1
happened daughter aka love? dont feel good thor,-1
cant stop watching trailer hope live come back home,1
maybe serpent answers. would awesome,1
love implies doom kill someone close hulk well. deal rune king world breaker. thats win. actually let heavy hitter win once.,1
4th january 2026,0
"get feeling doomsday gonna lot kids, doom abducting kids? start franklin, steves kid, thor daughter.",-1
thor gona die,-1
"ofc serious now, lol doom fan bout smoke cap thor pack soon though",-1
oh thor learned love thunder not act dumb anymore.,1
hulk ?,0
old way speech! polished not hint humor. reminds avenger cartoon,-1
"wish whoever enemy wouldnt defeated one movie,",1
iron man thor always favorite movie insane,0
thor speech good.,0
no way cant wait,-1
inhales boy mean girlkratos mean thor!,0
deadpool marvel jesus!,1
wow wow good avenger,1
finaly..after thor love thunder joke..,1
disney trash,0
long wait since last avenger movie,0
thor kratos arc,0
avenger doomsday date locked,-1
transition itll tough see,-1
no one watching marvels. theyre not good anymore! dc rise netflix make dc great again!,1
thor lowkey giving kratos vibe,1
"know who going play dr. doom, going weird seeing thor fight doom no spoiler dont know. eight billion people earth, choose former marvel actor!!! human stupidity.",-1
17 october 2020 hidden trailer,0
rune king thor activated even badass historic scene entering wakanda.,-1
"day, 4 year ago.",0
thor odinson love thordottir gunna absolutely carry mcu out.,1
trash slop. taking rdj ppl hop nostalgia. pathetic.,-1
no thanks,1
disney project hailmary.,0
cringe,0
norse god. father axe weapon. child. serious demeanor. seems god war,-1
finally true thor seen! sadly not second film see might die doomsday but return rune king thor possibly end doomsday guess secret war happen.,-1
yawn couldnt come another good character huh? come man. marvel many great character repertoire. get better writer dont need hype old character bring people theaters.,1
"hey viewer, back see",0
youre still watching enjoying movie need serious word,1
itd nice eye correct color infinity war,-1
really course correcting love thunder arent they?,1
know bad god start praying didnt pray thanos,1
prime thor gta 6,0
oh boutta fire,-1
"marvel hasnt seemed interestinggood since endgame, but put smile face .",1
finally no clown thor,-1
cant pretend thor 4 never happened? like kang? eternals? agent s.h.i.e.l.d.? hopefully secret invasion?,-1
"im still out, nothing could convince good",1
forget fake eye?,-1
meh.,-1
nope,0
b day let go,0
yes og thor back no silly thor got aura farming thor cant wait december 18th gonna good,1
"theyre gonna bring everyone back try get cash grab, bet movie mid like last 10 film so.",1
infinity war haircut back?,-1
"thor got one develop character mcu, growth character overtime truly masterpiece",1
look terrible. hate coloring ugh. rip thor love thunder,-1
wat guidance thunder god need?,1
god war vibe thor?,-1
men men again?,0
aint joking no,1
marvel please dont add unnecessary forced joke one. believe russo brother youre hope,1
think maybe marvel realized thor meant be.,1
oh he dying,0
year crazy work,-1
but people criticize thing dont understand,-1
deadpool dying thor arm coming soon?,0
goodbye thor,0
russos give u best thor everytime,1
dont get it. doomsday viallain tony stark actor robert downey jr....?,-1
115 want iron man,1
one afraid every second watching stupid joke would appear? im glad didnt happen.,1
feel like thor going die,-1
imma keep real dont care anymore,-1
cry fake eye?,-1
one day gta 6,0
thor cooked rest peace,1
,0
happen eye? thought one eye gone.,0
done comic relief thor?,1
"want tony stark return iron man, like this.",1
030 marvel dead endgame,-1
dude gonna peak,0
filmed teaser scene next one cabin wood huh? like metal band film video forest? broke disney?,-1
serious?,-1
welcome backthorwe certainly missed,1
"thor deserve. serious, mighty coming blood, but also longing protect loved one",1
eagerly waiting movie ...love india..,1
dark knight kill dr. doom,-1
eleven return avenger doomsday.,-1
happened him?,0
ruin king thor,-1
care point lol,1
gonna die know,-1
yes! thor love,1
small youtubers gather let connect good way!,1
marvel entertainment chris hemsworth oh better get peak thor back otherwise whoop chris hemsworth marvel.,1
trailer ni jahat,0
least informative but best trailer ever,1
"so, go fat goofy lazy thor back people wanted thor... took couple terrible ovies bring thor back maybe. bad nothing like comic comic thor much better.",-1
"cant wait december 18, 2026. preorder ?",0
peak omg thor movie goin peak absolute peak,0
kidding me? need wait another 11 month !!!???,1
cant stop watching,1
im done playing thor. here bazillion dollars. shall play thor.,1
sick,-1
"kudos marvel recognizing serious thor sorely needed fan want. plenty character comic relief spiderman, ant man, rocket racoon, tony stark, hawkeye, etc.. character crack joke occasionally goof off. thor always depicted serious badss comics. need hulk.",1
thor color eyes? anyone know reason?,0
2026 cooked item,0
finally getting thor back.,0
but iron man,0
von doom put beating thor. yall see...,-1
hero spoken 60 second last 10 years.,1
rune king thor,0
"time, hell go head",0
finally get act stupid comedic thor love thunder never existed. get real thor back doomsday.,-1
medieval thor return avengers.,0
ex return avenger doomsday,-1
bro got slim,0
refreshing see badass thor infinity war. long!,-1
infinity war thor back peak mcu back!!!,-1
"ah yes, dramatic serious teaser. know movie going every 2nd line cringe forced comedy quip",0
way save franchise bring back make big franchise. right??,1
even god praying !!,1
"must kidding me, want u wait complete year?",1
year started want december 18 come soon,1
eleven return avenger doomsday,-1
aaand gonna die guess,-1
iron man,0
biggest movie 2026,0
hawkay ka ek movie lau sir mujhe dekhna hai,0
trash,0
"imagine see loki? please dont ruin me, there lot hype marvel cough disney.",1
clock really gave flashback vecnas curse lol,-1
"green theme, loki?",0
eye back,0
ayo anyone notice thor eye blue.,0
know chair reveals. show u actual trailer,0
god begging power really gonna deal something big,1
hercules coming,0
serious thor welcome back!!!!!,1
better not ai stuff lol!so isnt ai?,1
excited slop,1
thor hammer,0
dad got autograph chris hemsworth,0
dont say thor die,0
better go head time start.,1
rune king thor way,0
girl hidden inside final post,0
letter spacing lowercase meh,-1
cant wait x men trailer,0
might trailer doesnt look like ai,-1
thunder happens raining,0
thor god war,-1
cooking thor odinson thor allfather,0
,0
mcflop,0
thor back . prime dis time,0
but real trailer far? there bunch ai concept look,0
hopefully movie ditch comedy becomes serious.,1
11 month countdown,0
thats marvel movie guy marvel back,1
mean wasnt much surprise return tbh,1
survive 2026,0
getting runekingthor?,0
cant wait see dr doom final teaser,-1
"im hoping thor wont drunk time . farce ptsd insulted every veteran didnt come back chest full medals. fight isnt ghost , fallen comrades,faces dead , but also american thanks u serving wait u twist join rank suicidal suffer flashback anger want help like va .im waiting patiently see chris screw portrayal night second battle badly drunk 1st failure",-1
give crap? marvel turned buffoon? think anyone take seriously anymore?,-1
actually marvel prayer,0
bro straight kratos,1
lame,-1
"not thor, rune king thor",0
"bruh went thru new year ,looking december date crazy",-1
lol totally forgot thor even daughter,1
thor,0
dec 18,0
"trash disney spewed ruined, im still not ready watch.",-1
looks... not great lol.,-1
thor udh tuaaaak,0
why thor crying!?,0
113 curious stuff,1
"yes, serious thor back! thor want see.",1
boy theyre really ramping u teaser,-1
last marvel movie! make better endgame. great journy marvel,1
miss this? 4 day ago 13 million views? isnt marvel fatigue idk,-1
not day wanted say in. but lfg!,0
jeffrey epstein return avenger goonsday,0
teaser thor justice taika watitti ever did.,1
,0
seeing thor teary eye asking strength,1
"wait, marvel movie still exist?",1
movie theater going erupt chaos,-1
meh,-1
point infinity war lol,-1
marvel dc ki movie ki edit sath hollywood webseries favourite loki series,1
waiting x men teaser,-1
kratos boutta take one,0
hulk dead?,-1
thor got rebuffed? let goo,0
gonna see wolverine,0
thor! odin son protector mankind ride meet fate destiny awaits thor! hldyns son protector mankind ride meet fate ragnark awaits,1
1 minute teaser serious tone implication entirety abomination called love thunder,1
"im glad theyre actually taking thor seriously. still no interest movie, though.",1
beavis butthead return avenger doomsday.,-1
havent heard thor talk like since first movie,1
please groot,1
do... people still care? dont. seems exhausting franchise.,1
mid,0
"true god never cease god, no matter what. mcu no longer relevant.",1
feel like king baldwin 4th thor,1
thought hemsworth done marvel,1
...what heard nothing this?,0
yawn,0
getting rune king thor,0
back,0
ruined mcu thor jokey inconsistency. still going see stuff.,-1
"yes, pls! need serious thor back",1
marvel cooking something,1
"stop super hero movie while,",1
marvel movie follow comics?,1
thor aint surviving,-1
keep clown waititi way thor franchise !plz!,0
marvel made mistake revealing doomsday,-1
ohhh myyyy gaaawwsshhh! countdown begin me! lessgoooo!,0
el return avenger doomsday,-1
miss part left ?,-1
"please, not another comedy.",0
got captain thor.... need iron man,0
"taika worst thing ever character, russos treat respect carry.",1
coming birthday,0
almost year away? hell?,-1
anyone think doom supposedly chop arm. thats praying facing,-1
amazing,1
ai,0
marvel jesus movie too???,1
hope mjolnir appears avenger doomsday,-1
,0
god war ragnarok ahh vibe,-1
ive seen many ai trailer finally marvel put youtube,1
guess official,0
everyone got kid,0
thor returns? never gone?!,0
hollywood keep making movie american protecting world alien aggression. people world suffering american aggression since founding.,-1
"okay, peak serious thor good job marvel",1
already trash forget,-1
theater one day? not watch trailer bc marvel chris hemsworth,1
december,0
dune part 3 doomsday,-1
crazy thor became kratos.,-1
finally something isnt gta vi,0
"no crap please , give u something hadnt recycled .",-1
bro please dont kill thor . end high,-1
uh movie need watch avengers? even overarching plotline,0
yeah butis spidey gonna there?,1
prayer dad,0
spoke directly me...,0
father undid thor love thunder me.,1
"thor better serious character. chris hemsworth good he serious emotional. love ragnorak comedy style, but need balance.",1
047 release unredacted epstein file,0
release unredacted epstein file,0
cant wait deadpool scene,0
maybe advertise almost here?,0
brb watching 309 time,0
know theyre going say. tony? seee victor von doom,-1
prime thor,0
need allfather thor odin force,0
im exciteddd!!,0
thor movie know gonna good,1
back!!!!,0
thor dying. calling now.,0
thor die,-1
whoever behind trailer bravo 3,1
people missing prime thor love thunder campy mess,1
but took hair,0
slop,0
love seeing thor praying asking father strength badass,1
"so, first steves coming back thor? dad now? okay, im beginning suspect doom played rdj isnt going casting choice but alternate timeline tony stark multiverse something. otherwise much cast reunion character whose arc seemed wouldnt make sense.",-1
busett trailernya setaon sebelum,0
damage done,-1
thor haircut like rick grime wheres murder jacket,-1
iron man?,0
pls dont nerf thor time,1
dont play mfdoom credit riot.,-1
please.... dont end him..........,0
thats doomsday clock.,-1
who directing this? swear build there comic relief every moment introduce little tension im done mcu forever.,1
"setting alarm 11 months, seventee.... joking? zzzzzzz.",-1
omg one last enemy fight mean die,-1
irony god praying.,1
releasing trailer full year movie released unsettling,0
world cup doomsday month,-1
thor supposed reason want watch this?,1
"remember, thor not ask strength fought thanos.",-1
whats code date end mean??,0
bring tony back !!,0
exactly zero expectation but good start.,1
12k dislike why? who?,-1
bout time,0
year thor funny one finally something gonna happen but victor not f4 one steve rogers flame guy,1
love thunder? whats that?,1
rune king thor?,0
thor easy. born riches. got daughter cosmic powers. didnt get married. didnt even change diapers. blessed life.,1
"havent seen anything dr doom before, movies? care him?",1
stink desperation. pushed back again.,-1
omg marvel keep making load marvel movie yikes,1
thor die movie? intriguing!,-1
thor crying??,0
turning thor clown want serious thor back!,0
ragnarok thor rise!!!,0
12 months!,0
got marvel zombie but not way hoped... flogging dead horse.,-1
look fake,0
thats thor cry,-1
im wondering get gta6 this?,0
let bro rest already bro suffered already much doom gone,-1
"started 2026, wait christmas? lol",1
goosebump holy cow,0
"avenger secret war theater december 17, 2027",-1
havent built enough goodwill this. disgusting,-1
thor got love thunder,1
miss something cuz thor kid???,-1
yeah well see.,0
aint no way aint no way aint no way,1
ict1am 4th jan 2026,0
serios thor never had...always trash movie dumpster juice plot... let hope accidentally make decent,0
thought chris done acting?,0
finally not bumbling dopey thor! almost ruined guy!!!,-1
eye blue shouldnt one brown,0
allfathers hurt,-1
thor,0
chance instrumentals trailer spotify?,1
smell desperation reek fear,-1
"teach not battle, but stillness, kind never knew holy cow back.",1
"saw backlash love thunder had, even chris hemsworth said doesnt want continue another film welp hopefully get see real thor, real thunder!",1
remember thunderbolt whatever called? new avenger saying..,0
teaser like,1
thor silliest hammer,1
not battle but stillness marvel og writer making quality,1
man nice see mcu give u prime thor,1
already new year. wait,0
finally non ai trailer,0
rune king thor,0
given really long blonde hair also original helmet,1
cares? mcu ended end game.,1
make teaser year front,-1
"first time ive excited marvel movie 6 years. cannot believe look like going serious grounded mcu movie. havent grounded, serious ncu movie show long. cant wait serious store instead fat goofy pathetic thor.",1
maybe minority but feel like baiting u old mcu character marketing short cameos. hope im wrong.,1
much better pretentious boring steve rogers one,1
sa far thor fallen,-1
"kill , save u trouble",-1
anyone know future???,0
"good thing told u time, almost something planned december 2026",1
return spider man brand new day,0
"zero interest this, since thor hulk completely emasculated lame last couple movies.",0
shakespearean thor back! inject veins!,0
oh he gonna die. even daughter...,-1
many drama avenger doomsday fighting war real life,-1
"see no point trailer movie isnt coming another full year. year teaser trailer burn people out, like me, make uninterested watching it.",-1
israeli love israel ahh movie slop,1
taika waititi reason stop following movies. stupid joke one other.,-1
"okay, well chris hemsworth tom hiddleston this, better epic scene reuniting. dont screw up, guys!",1
"plot leaked dr.doom collecting childrens avenger cuz dr.doom alredy collected mr.fantastics son. marvel already released cap child , thor. next ? junior hulk junior natasha who?",1
old thor back,0
best new year gift ever? oh wait coming end year,1
"retcon love thunder!? so, thor back!",1
look like ai trailer man! could easily fooled,1
another flop incoming,-1
"thor! listen me, always aim head!!!",0
thor comeback yasss,0
okay but beginning year teaser time avenger doomsday coming pretty much end year?,-1
got eye back??,0
far weve fallen smh bar low lol,-1
please god no aimed dih joke movie,1
ooh goosebump,0
god begging power something serious...,1
,0
gaaaahhhhhh,0
"america let fight more, let defeat one enemy",-1
thor praying facing god war also child...,-1
million like video.. well done thor.. missed,1
w doomsday,-1
thor best marvel,1
strength honor.,1
,0
thor gonna die,-1
great! make hulk also badass joker.,1
,0
"glad fantastic four going movie, think going focus sue son franklin because... spoiler warning. dont click read dont want spoiler film dr. doom right front franklin end film",1
hope loki hears prayers. let sun shine,1
thalapathy fan jana nayagan trailer,0
rest power wont make end need watch end year.....,0
"think scene loki died hand doom thor watching like first scene infinity war. thor want revenge but know doom op, ask strength war doom war want return father dont mind grammar",-1
dunno way wokeney acting lately dont hope movie,-1
please thor dont die,1
im hyped,0
going die,-1
point imma forget movie coming,-1
teaser feel like breadcrumb toxic ex.,1
"point, might turn rkt",0
1 year kon wait kare,0
oh back,0
0112 1e 17ber 02020 mean?,0
im waiting favourite hero since ragnarok,1
rhun thor loading plus cousin nazrana moosa titi milk,0
"sooo tony starks endgame storyline but thor? dumb, character already completed cycle. dont fall obvious money grab people...",-1
"way hyping us, better good",1
know cry,-1
dumbest trailer ever,-1
"inticing teaser, fathers, unfortunately movie care nothing about....",-1
finally new marvel movie! cinema yeah nevermind,1
oooooooooooh noooo wayyyyyy editi love,1
"100 time better captain america teaser. give hint threat facing, personal stake character. also, tone teaser one jokiest character entire mcu.",-1
doesnt contradict ending love thunder?,1
december 26?! saw trailer movie like year ago,1
without thor avenger doom,-1
dont die thor,1
no thanks. really. no,-1
need tony stark back whatever take need tony stark iron man back make god bleed,1
another trash,0
casually calling back character cause business run delusionals obsessed marvel going,1
"trailer, not part movie , clickbait",0
please marvel dont nerf,1
"absolutely love thor character, always wear heavy",1
bro doesnt want know battle but last time saw swinging mjolnir bad guys.,-1
"dam man, thor facing iron man sight see. reaction",0
gimme xmen trailer,0
year away? take long make movie? come on. hire better people,1
may actually get bit excited one.,1
king asgard,0
ever trailer seems ai using ai made,0
agree love thunder never happened right?,1
gonna amazingly wow,1
big relief watching thor compared thor love thunder,1
doom got thor praying cooked,-1
"thor something fight for, now. wonder name is.",-1
bring loki thor together,0
thor prayer let wait,0
become rune king thor bc doom strong rn gang,1
057 look hands.... thought never notice but,0
foot dive,0
hope old thor movie 20 year like logan. hemsworth great role.,1
see rdj,0
werent child thor? rather one child?,0
jesus king! 3,1
"endgame type excitement finally back , avenger finally back baby",1
prime marvel back,1
marvel leaked star tom holland,1
kinda reminded russel crowe gladiator?? thor taking note zeus,1
fake. marvel coopted prevent becoming viral somewhere else. didnt make it.,-1
doomsday legit civil war pt. 2 lol.,-1
doomsday thor entry heard wait,-1
nb talking bout biggest movie coming end year lord wanna see doomsday,-1
cant help but notice sun shining thru treeshopefully mean seeing brother soon!!! cant wait doomsday! loki thor reunion xmen one movie!!!,-1
happy new year 2026,1
end year tho,0
praying saw new avenger stuggling even stand,1
"oooh, thor finally becoming cool eye first time 8 year",1
know serious thor praying odin,1
"thank god russos directing, already see two trailers. serious, real stakes.",1
december?,0
care,1
guy come first. avenger doomsday gta 6,-1
thor short hair......,0
"children, doom see anomaly throughout multiverse born shouldnt existed.",-1
cant wait..,0
"easily one chris hemsworths best performance god thunder. feel desperation voice, way want give new found daughter life never touching. let u pray father movie peak teaser seems",1
god praying dare say even begging strength defeat enemy something truly scary.,0
thor jesus christ,0
color grading good!,1
big fan character loki,1
taika watiti made thor weak avenger,-1
imagine loki go insane mode something happens neice,-1
return serious thor?,-1
1 full year screen testing ai edits,0
anyone else thinking marvel god war 2018 copycat?,-1
thor convert rune king thor,0
